ar,stofnun,samtals
2004,Háskóli Íslands,4269415718
2004,Heilbrigðisstofnun Austurlands,1072902572
2004,Heilbrigðisstofnun Suðurlands,331640966
2004,Heilbrigðisstofnun Vesturlands,1082231452
2004,Heilsugæsla á Höfuðborgarsvæðinu,2665382795
2004,Landhelgisgæsla Íslands,684734243
2004,Landspítali,18526266737
2004,Lögreglustjórinn á Höfuðborgarsvæðinu,1679511174
2004,Sjúkrahúsið á Akureyri,2258617841
2004,Vegagerðin,1553838023
2004,Annað,47976244413
2005,Háskóli Íslands,4883500387
2005,Heilbrigðisstofnun Austurlands,1174649983
2005,Heilbrigðisstofnun Suðurlands,1085733559
2005,Heilbrigðisstofnun Vesturlands,1209233475
2005,Heilsugæsla á Höfuðborgarsvæðinu,2652806552
2005,Landhelgisgæsla Íslands,817563353
2005,Landspítali,19640299274
2005,Lögreglustjórinn á Höfuðborgarsvæðinu,1806532892
2005,Sjúkrahúsið á Akureyri,2422127212
2005,Vegagerðin,1731546517
2005,Annað,51523920837
2006,Háskóli Íslands,5164550703
2006,Heilbrigðisstofnun Austurlands,1298048685
2006,Heilbrigðisstofnun Suðurlands,1255100767
2006,Heilbrigðisstofnun Vesturlands,1325937382
2006,Heilsugæsla á Höfuðborgarsvæðinu,3598110629
2006,Landhelgisgæsla Íslands,999137552
2006,Landspítali,21759289547
2006,Lögreglustjórinn á Höfuðborgarsvæðinu,1965791619
2006,Sjúkrahúsið á Akureyri,2649851532
2006,Vegagerðin,1853705073
2006,Annað,56013868683
2007,Háskóli Íslands,5700402521
2007,Heilbrigðisstofnun Austurlands,1526217831
2007,Heilbrigðisstofnun Suðurlands,1394644024
2007,Heilbrigðisstofnun Vesturlands,1472106474
2007,Heilsugæsla á Höfuðborgarsvæðinu,4018707217
2007,Landhelgisgæsla Íslands,1204279159
2007,Landspítali,24051875331
2007,Lögreglustjórinn á Höfuðborgarsvæðinu,2566951522
2007,Sjúkrahúsið á Akureyri,2953556411
2007,Vegagerðin,1969886417
2007,Annað,59392434088
2008,Háskóli Íslands,6635017933
2008,Heilbrigðisstofnun Austurlands,1718414425
