sveitarfelag,ar,staerd,leiguverd,kaupverd,fasteignamat,vextir,afborgun
Akraneskaupstaður,2011,50-59,75000,13629000,12150000,0.059,58942.787290084525
Akraneskaupstaður,2011,60-69,80000,14722000,13400000,0.059,63669.80075461329
Akraneskaupstaður,2011,70-79,75000,13500000,11750000,0.059,58384.887256302085
Akraneskaupstaður,2011,80-89,98000,17300000,15650000,0.059,74819.15181733527
Akraneskaupstaður,2011,90-99,95000,18361000,17100000,0.059,79407.77147503427
Akraneskaupstaður,2011,100-109,98000,18000000,13250000,0.059,77846.5163417361
Akraneskaupstaður,2011,110-150,112500,15542000,14525000,0.059,67216.1420546257
Akraneskaupstaður,2012,70-79,90000,12057000,12350000,0.0641,55556.76643801184
Akraneskaupstaður,2012,80-89,95000,7290000,11275000,0.0641,33591.17751788225
Akraneskaupstaður,2012,90-99,95000,14137000,13100000,0.0641,65141.08046231842
Akraneskaupstaður,2012,100-109,110000,22600000,18900000,0.0641,104137.25814871589
Akraneskaupstaður,2012,110-150,115166,18195000,16600000,0.0641,83839.70849627812
Akraneskaupstaður,2013,50-59,79000,10000000,9030000,0.0675,47998.55511726236
Akraneskaupstaður,2013,60-69,85000,12144500,11625000,0.0675,58291.84526215927
Akraneskaupstaður,2013,70-79,100000,15700000,15050000,0.0675,75357.73153410191
Akraneskaupstaður,2013,80-89,100000,17490000,11950000,0.0675,83949.47290009187
Akraneskaupstaður,2013,90-99,100000,18646500,16900000,0.0675,89500.50579940327
Akraneskaupstaður,2013,100-109,107500,21750000,18525000,0.0675,104396.85738004564
Akraneskaupstaður,2013,110-150,120000,19000000,16900000,0.0675,91197.25472279849
Akraneskaupstaður,2014,50-59,87500,11484500,8515000,0.06416666666666666,52961.731061632694
Akraneskaupstaður,2014,60-69,93701,11450000,11490000,0.06416666666666666,52802.631429813606
Akraneskaupstaður,2014,70-79,95000,13000000,11550000,0.06416666666666666,59950.585902845145
Akraneskaupstaður,2014,80-89,105000,18250000,15500000,0.06416666666666666,84161.39944053261
Akraneskaupstaður,2014,90-99,110000,15300000,13550000,0.06416666666666666,70557.22802411775
Akraneskaupstaður,2014,100-109,120000,20525000,17025000,0.06416666666666666,94652.7519735305
Akraneskaupstaður,2014,110-150,125000,19000000,17500000,0.06416666666666666,87620.08708877367
Akraneskaupstaður,2015,50-59,88750,11100000,9530000,0.066875,52884.504785851736
Akraneskaupstaður,2015,60-69,95000,16200000,9690000,0.066875,77182.79076854036
Akraneskaupstaður,2015,70-79,110000,20200000,12650000,0.066875,96240.2699706491
Akraneskaupstaður,2015,80-89,108000,22500000,13100000,0.066875,107198.32051186162
Akraneskaupstaður,2015,90-99,120000,18500000,14250000,0.066875,88140.84130975288
Akraneskaupstaður,2015,100-109,120000,25500000,19400000,0.066875,121491.42991344316
Akraneskaupstaður,2015,110-150,140000,20000000,16700000,0.066875,95287.39601054367
Akraneskaupstaður,2016,50-59,94000,11705000,9380000,0.06625,55352.572429655214
Akraneskaupstaður,2016,60-69,105000,17075000,11200000,0.06625,80747.13150246584
Akraneskaupstaður,2016,70-79,110000,21627000,12100000,0.06625,102273.3946122301
Akraneskaupstaður,2016,80-89,125000,15800000,13350000,0.06625,74717.69708573706
Akraneskaupstaður,2016,90-99,136750,20500000,14400000,0.06625,96943.84748465885
Akraneskaupstaður,2016,100-109,130000,22950000,17175000,0.06625,108529.81950111808
Akraneskaupstaður,2016,110-150,155000,23900000,17700000,0.06625,113022.33926260227
Akraneskaupstaður,2017,50-59,105718,16700000,10400000,0.06,73142.8282434841
Akraneskaupstaður,2017,60-69,120000,18500000,11250000,0.06,81026.48637751232
Akraneskaupstaður,2017,70-79,130000,24200000,12225000,0.06,105991.40380193504
Akraneskaupstaður,2017,80-89,145000,23450000,13625000,0.06,102706.54624608994
Akraneskaupstaður,2017,90-99,149500,28225000,15675000,0.06,123620.13935163704
Akraneskaupstaður,2017,100-109,150000,26000000,14725000,0.06,113875.06193596327
Akraneskaupstaður,2017,110-150,173000,25125000,17200000,0.06,110042.72812081067
Akraneskaupstaður,2018,50-59,100000,19700000,12575000,0.06,86282.25846686448
Akraneskaupstaður,2018,60-69,127500,21000000,14100000,0.06,91976.01156366263
Akraneskaupstaður,2018,70-79,145000,24550000,16400000,0.06,107524.3373279961
Akraneskaupstaður,2018,80-89,160000,24250000,15650000,0.06,106210.39430565805
Akraneskaupstaður,2018,90-99,163000,32000000,19000000,0.06,140153.922382724
Akraneskaupstaður,2018,100-109,168750,33900000,19350000,0.06,148475.56152419827
Akraneskaupstaður,2018,110-150,190000,32700000,22925000,0.06,143219.7894348461
Akraneskaupstaður,2019,50-59,99000,21250000,15825000,0.053099999999999994,85117.37989950992
Akraneskaupstaður,2019,60-69,140000,24500000,18800000,0.053099999999999994,98135.33211943497
Akraneskaupstaður,2019,70-79,134500,28500000,18900000,0.053099999999999994,114157.42715934274
Akraneskaupstaður,2019,80-89,170657.5,29500000,20900000,0.053099999999999994,118162.95091931966
Akraneskaupstaður,2019,90-99,150000,34050000,29550000,0.053099999999999994,136388.08402721473
Akraneskaupstaður,2019,100-109,180750,33500000,24700000,0.053099999999999994,134185.04595922743
Akraneskaupstaður,2019,110-150,200000,38500000,26400000,0.053099999999999994,154212.66475911211
Akraneskaupstaður,2020,50-59,117729,20900000,20450000,0.0405,70163.35039916442
Akraneskaupstaður,2020,60-69,146000,25000000,24500000,0.0405,83927.45263057946
Akraneskaupstaður,2020,70-79,152500,31100000,28050000,0.0405,104405.75107244083
Akraneskaupstaður,2020,80-89,172500,31000000,27950000,0.0405,104070.04126191852
Akraneskaupstaður,2020,90-99,172000,33900000,29725000,0.0405,113805.62576706574
Akraneskaupstaður,2020,100-109,170000,40500000,32050000,0.0405,135962.47326153872
Akraneskaupstaður,2020,110-150,190000,38000000,36650000,0.0405,127569.72799848078
Akraneskaupstaður,2021,50-59,127500,29900000,22125000,0.037875,96528.36883327425
Akraneskaupstaður,2021,60-69,146000,30500000,21750000,0.037875,98465.39295701888
Akraneskaupstaður,2021,70-79,165000,35700000,21525000,0.037875,115252.9353628057
Akraneskaupstaður,2021,80-89,180000,43250000,24350000,0.037875,139627.15558659236
Akraneskaupstaður,2021,90-99,180000,37450000,32075000,0.037875,120902.58905706088
Akraneskaupstaður,2021,100-109,180000,38000000,33200000,0.037875,122678.1945038268
Akraneskaupstaður,2021,110-150,187000,44950000,39450000,0.037875,145115.39060386881
Akraneskaupstaður,2022,50-59,108500,29950000,11800000,0.06,131175.31173008075
Akraneskaupstaður,2022,60-69,150000,32718500,19150000,0.06,143300.8159212236
Akraneskaupstaður,2022,70-79,164623,41700000,21400000,0.06,182638.08010498722
Akraneskaupstaður,2022,80-89,190000,41800000,32250000,0.06,183076.06111243324
Akraneskaupstaður,2022,90-99,195000,42500000,30350000,0.06,186141.92816455534
Akraneskaupstaður,2022,100-109,222500,47500000,32750000,0.06,208040.97853685598
Akraneskaupstaður,2022,110-150,185000,45950000,35775000,0.06,201252.27292144278
Akureyrarbær,2011,50-59,74101,9100000,8850000,0.059,39355.73881721104
Akureyrarbær,2011,60-69,85000,12400000,10200000,0.059,53627.60014652932
Akureyrarbær,2011,70-79,91987,12300000,11100000,0.059,53195.119500186345
Akureyrarbær,2011,80-89,100000,14716000,11600000,0.059,63643.8519158327
Akureyrarbær,2011,90-99,110000,17200000,12900000,0.059,74386.6711709923
Akureyrarbær,2011,100-109,110000,16100000,13300000,0.059,69629.38406121952
Akureyrarbær,2011,110-150,120000,21000000,15450000,0.059,90820.93573202548
Akureyrarbær,2012,50-59,78855,10100000,9445000,0.0641,46539.21713725798
Akureyrarbær,2012,60-69,84697,12900000,11100000,0.0641,59441.178323824555
Akureyrarbær,2012,70-79,99024,15600000,12050000,0.0641,71882.35518229946
Akureyrarbær,2012,80-89,100000,19300000,12800000,0.0641,88931.375321691
Akureyrarbær,2012,90-99,110000,20489000,14850000,0.0641,94410.10098270087
Akureyrarbær,2012,100-109,115000,21040000,16000000,0.0641,96949.02263048595
Akureyrarbær,2012,110-150,115000,20888000,15800000,0.0641,96248.63045178661
Akureyrarbær,2013,50-59,81687.5,10290000,8700000,0.0675,49390.51321566298
Akureyrarbær,2013,60-69,90000,11976000,10450000,0.0675,57483.069608433405
Akureyrarbær,2013,70-79,102308,14454000,12800000,0.0675,69377.11156649102
Akureyrarbær,2013,80-89,117500,15016000,14025000,0.0675,72074.63036408117
Akureyrarbær,2013,90-99,120000,18219500,14700000,0.0675,87450.96749589616
Akureyrarbær,2013,100-109,120000,22170000,14700000,0.0675,106412.79669497066
Akureyrarbær,2013,110-150,130000,19600000,17900000,0.0675,94077.16802983423
Akureyrarbær,2014,50-59,85536,12050000,9605000,0.06416666666666666,55569.58154840646
Akureyrarbær,2014,60-69,100000,13600000,11550000,0.06416666666666666,62717.53602143799
Akureyrarbær,2014,70-79,106891,16000000,12800000,0.06416666666666666,73785.3364958094
Akureyrarbær,2014,80-89,120000,17100000,14275000,0.06416666666666666,78858.07837989631
Akureyrarbær,2014,90-99,130000,24100000,15150000,0.06416666666666666,111139.16309681292
Akureyrarbær,2014,100-109,139931.5,25000000,16000000,0.06416666666666666,115289.5882747022
Akureyrarbær,2014,110-150,140000,22300000,18150000,0.06416666666666666,102838.31274103436
Akureyrarbær,2015,50-59,94890,13350000,9745000,0.066875,63604.336837037896
Akureyrarbær,2015,60-69,100000,15000000,11500000,0.066875,71465.54700790775
Akureyrarbær,2015,70-79,111100,17450000,13650000,0.066875,83138.25301919934
Akureyrarbær,2015,80-89,130000,21300000,15850000,0.066875,101481.07675122899
Akureyrarbær,2015,90-99,140000,21850000,16350000,0.066875,104101.48014151896
Akureyrarbær,2015,100-109,150000,26050000,16525000,0.066875,124111.83330373312
Akureyrarbær,2015,110-150,150000,28000000,20600000,0.066875,133402.35441476112
Akureyrarbær,2016,50-59,95500,15450000,11425000,0.06625,73062.55822624288
Akureyrarbær,2016,60-69,114782,19850000,12075000,0.06625,93870.01817416967
Akureyrarbær,2016,70-79,116424,22400000,14575000,0.06625,105928.88700762723
Akureyrarbær,2016,80-89,138880,20750000,15775000,0.06625,98126.08952715469
Akureyrarbær,2016,90-99,151210.5,24000000,17550000,0.06625,113495.23607960061
Akureyrarbær,2016,100-109,155000,28750000,18250000,0.06625,135957.83488702154
Akureyrarbær,2016,110-150,160000,26500000,21650000,0.06625,125317.656504559
Akureyrarbær,2017,50-59,115000,20250000,11550000,0.06,88691.15400781755
Akureyrarbær,2017,60-69,133000,20900000,14100000,0.06,91538.03055621662
Akureyrarbær,2017,70-79,135000,24500000,16800000,0.06,107305.34682427309
Akureyrarbær,2017,80-89,155000,25800000,16975000,0.06,112999.09992107123
Akureyrarbær,2017,90-99,169750,30200000,19450000,0.06,132270.2642486958
Akureyrarbær,2017,100-109,158500,33400000,20500000,0.06,146285.6564869682
Akureyrarbær,2017,110-150,161000,30875000,23450000,0.06,135226.6360489564
Akureyrarbær,2018,50-59,120000,20400000,13400000,0.06,89348.12551898656
Akureyrarbær,2018,60-69,141500,24050000,16900000,0.06,105334.43229076602
Akureyrarbær,2018,70-79,154000,29900000,17750000,0.06,130956.32122635776
Akureyrarbær,2018,80-89,170000,27000000,19900000,0.06,118254.8720104234
Akureyrarbær,2018,90-99,180000,32900000,21900000,0.06,144095.75144973813
Akureyrarbær,2018,100-109,170000,33200000,22800000,0.06,145409.69447207617
Akureyrarbær,2018,110-150,180000,32500000,25950000,0.06,142343.8274199541
Akureyrarbær,2019,50-59,130000,21000000,16275000,0.053099999999999994,84115.9989595157
Akureyrarbær,2019,60-69,150000,25550000,20300000,0.053099999999999994,102341.13206741076
Akureyrarbær,2019,70-79,160000,28200000,23200000,0.053099999999999994,112955.77003134966
Akureyrarbær,2019,80-89,165000,28000000,24850000,0.053099999999999994,112154.66527935427
Akureyrarbær,2019,90-99,180000,34535000,30775000,0.053099999999999994,138330.76305080354
Akureyrarbær,2019,100-109,180000,35500000,27300000,0.053099999999999994,142196.0934791813
Akureyrarbær,2019,110-150,190000,37350000,33900000,0.053099999999999994,149606.31243513862
Akureyrarbær,2020,50-59,130000,22900000,18700000,0.0405,76877.54660961077
Akureyrarbær,2020,60-69,150000,28800000,24050000,0.0405,96684.42543042754
Akureyrarbær,2020,70-79,159500,29900000,25750000,0.0405,100377.23334617303
Akureyrarbær,2020,80-89,170000,32300000,27075000,0.0405,108434.26879870865
Akureyrarbær,2020,90-99,175000,36000000,35425000,0.0405,120855.53178803441
Akureyrarbær,2020,100-109,180000,42300000,31500000,0.0405,142005.24985094045
Akureyrarbær,2020,110-150,185000,38000000,34550000,0.0405,127569.72799848078
Akureyrarbær,2021,50-59,132500,24000000,17900000,0.037875,77480.96494978535
Akureyrarbær,2021,60-69,145500,29375000,21800000,0.037875,94833.47272499769
Akureyrarbær,2021,70-79,163000,33650000,23750000,0.037875,108634.7696066782
Akureyrarbær,2021,80-89,173000,33950000,26025000,0.037875,109603.28166855052
Akureyrarbær,2021,90-99,180000,37150000,28725000,0.037875,119934.07699518856
Akureyrarbær,2021,100-109,190000,43400000,29450000,0.037875,140111.4116175285
Akureyrarbær,2021,110-150,185000,39100000,32800000,0.037875,126229.40539735863
Akureyrarbær,2022,50-59,140000,27500000,20600000,0.06,120444.77704765345
Akureyrarbær,2022,60-69,160000,36200000,26950000,0.06,158549.12469545656
Akureyrarbær,2022,70-79,172500,38250000,25875000,0.06,167527.7353480998
Akureyrarbær,2022,80-89,175000,39950000,26775000,0.06,174973.412474682
Akureyrarbær,2022,90-99,183500,47700000,35875000,0.06,208916.940551748
Akureyrarbær,2022,100-109,207500,45050000,31075000,0.06,197310.44385442865
Akureyrarbær,2022,110-150,172500,51650000,33150000,0.06,226217.19034586547
Bláskógabyggð,2020,60-69,120000,22450000,15900000,0.0405,75366.85246226034
Bláskógabyggð,2021,60-69,107500,22500000,16450000,0.037875,72638.40464042376
Bolungarvíkurkaupstaður,2013,80-89,70000,6400000,6150000,0.0675,30719.07527504791
Bolungarvíkurkaupstaður,2013,100-109,70000,28000000,9905000,0.0675,134395.95432833463
Bolungarvíkurkaupstaður,2016,100-109,90000,7250000,7370000,0.06625,34285.01923237935
Bolungarvíkurkaupstaður,2018,80-89,98000,8000000,6780000,0.06,35038.480595681
Bolungarvíkurkaupstaður,2019,100-109,110000,14650000,9200000,0.053099999999999994,58680.92308366214
Bolungarvíkurkaupstaður,2020,50-59,98000,7000000,5330000,0.0405,23499.686736562246
Bolungarvíkurkaupstaður,2020,100-109,120000,13000000,8970000,0.0405,43642.27536790132
Bolungarvíkurkaupstaður,2021,50-59,106000,13880000,7070000,0.037875,44809.82472929253
Bolungarvíkurkaupstaður,2021,100-109,132500,13000000,9970000,0.037875,41968.85601446706
Borgarbyggð,2011,110-150,85000,17000000,13800000,0.059,73521.70987830633
