dags,vextir
2021-11-25,0.042
2021-10-19,0.0385
2021-09-01,0.0365
2021-06-01,0.034499999999999996
2020-12-01,0.033
2020-06-01,0.035
2020-04-14,0.04
2020-03-23,0.040999999999999995
2020-03-13,0.045
2020-02-13,0.049
2019-11-15,0.050499999999999996
2019-10-11,0.052000000000000005
2019-09-03,0.053
2019-07-01,0.054000000000000006
2019-06-01,0.055999999999999994
2018-11-15,0.06
2017-10-11,0.0575
2017-06-21,0.06
2017-05-21,0.0625
2016-12-21,0.065
2016-09-01,0.0675
2015-11-11,0.0725
2015-09-01,0.07
2015-06-21,0.065
2015-05-20,0.06
2014-12-21,0.06
2014-11-11,0.065
2014-10-01,0.0675
2013-09-11,0.0675
2012-12-01,0.0675
2012-06-21,0.0675
2012-05-21,0.065
2012-04-01,0.06149999999999999
2012-02-11,0.059000000000000004
2011-11-11,0.059000000000000004
2011-10-11,NA
2011-08-21,NA
2011-06-01,NA
2011-05-11,NA
2011-03-01,NA
2011-02-11,NA
2011-01-11,NA
2010-12-11,NA
2010-11-11,NA
2010-10-11,NA
2010-10-01,NA
2010-08-21,NA
2010-07-11,NA
2009-12-11,NA
2009-11-01,NA
2009-07-21,NA
2009-05-11,NA
2009-04-21,NA
2009-04-11,NA
2009-03-21,NA
2009-01-01,NA
2008-11-11,NA
2008-11-01,NA
2008-10-21,NA
2008-10-08,NA
